
Paired sequence bootstrap (n=10000)
  A = gmflow_basic_clean  (results/per_seq_stats/gmflow_basic_clean.json)
  B = gmflow_refine_clean  (results/per_seq_stats/gmflow_refine_clean.json)

=== metric: epe  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     1.4839     1.0730    -0.4109    [-0.5739, -0.2746]   0.0000      B wins
     matched     0.8222     0.5084    -0.3138    [-0.4320, -0.2191]   0.0000      B wins
   unmatched     9.9524     8.2985    -1.6539    [-2.3989, -1.0013]   0.0000      B wins
        s0_1     0.2452     0.1574    -0.0878    [-0.1269, -0.0688]   0.0000      B wins
       s0_10     0.4560     0.3017    -0.1543    [-0.1962, -0.1194]   0.0000      B wins
      s10_40     1.7601     1.2420    -0.5181    [-0.6402, -0.4069]   0.0000      B wins
        s40+     8.1894     6.1884    -2.0010    [-3.1964, -1.3311]   0.0000      B wins
        s60+    11.2124     8.5546    -2.6578    [-4.5820, -1.7050]   0.0000      B wins
        disc     3.4629     2.5438    -0.9191    [-1.2406, -0.6019]   0.0000      B wins
       untex     1.5548     1.1274    -0.4274    [-0.6277, -0.2651]   0.0000      B wins
        blur     1.8808     1.4047    -0.4760    [-0.8125, -0.2682]   0.0000      B wins

=== metric: ae  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     5.7788     4.0934    -1.6853    [-2.0752, -1.3191]   0.0000      B wins
     matched     5.2848     3.6032    -1.6816    [-2.0728, -1.3120]   0.0000      B wins
   unmatched    12.1010    10.3681    -1.7329    [-2.3563, -1.2864]   0.0000      B wins
        s0_1     9.7148     6.4314    -3.2834    [-4.3009, -2.6643]   0.0000      B wins
       s0_10     6.8198     4.7925    -2.0273    [-2.5004, -1.5815]   0.0000      B wins
      s10_40     3.4828     2.4055    -1.0773    [-1.3751, -0.8286]   0.0000      B wins
        s40+     3.4039     2.8191    -0.5848    [-0.9821, -0.3365]   0.0000      B wins
        s60+     3.6797     3.2276    -0.4521    [-0.7884, -0.2750]   0.0000      B wins
        disc     7.7753     5.6644    -2.1109    [-2.6194, -1.6525]   0.0000      B wins
       untex     5.4481     3.8654    -1.5828    [-2.0159, -1.1843]   0.0000      B wins
        blur     4.7941     3.4590    -1.3350    [-2.0042, -0.8657]   0.0000      B wins

=== metric: bad1  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.1603     0.0910    -0.0693    [-0.0907, -0.0494]   0.0000      B wins
     matched     0.1203     0.0540    -0.0664    [-0.0889, -0.0464]   0.0000      B wins
   unmatched     0.6725     0.5654    -0.1071    [-0.1283, -0.0881]   0.0000      B wins
        s0_1     0.0255     0.0110    -0.0145    [-0.0281, -0.0088]   0.0000      B wins
       s0_10     0.0690     0.0313    -0.0377    [-0.0534, -0.0251]   0.0000      B wins
      s10_40     0.2852     0.1612    -0.1239    [-0.1522, -0.0966]   0.0000      B wins
        s40+     0.5364     0.3620    -0.1744    [-0.1996, -0.1558]   0.0000      B wins
        s60+     0.5982     0.4236    -0.1746    [-0.2010, -0.1537]   0.0000      B wins
        disc     0.3723     0.2256    -0.1466    [-0.1728, -0.1161]   0.0000      B wins
       untex     0.1618     0.0915    -0.0703    [-0.0960, -0.0486]   0.0000      B wins
        blur     0.1817     0.1110    -0.0708    [-0.1052, -0.0478]   0.0000      B wins

=== metric: bad10  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.0231     0.0167    -0.0064    [-0.0100, -0.0034]   0.0000      B wins
     matched     0.0094     0.0057    -0.0036    [-0.0061, -0.0018]   0.0000      B wins
   unmatched     0.1988     0.1566    -0.0423    [-0.0572, -0.0289]   0.0000      B wins
        s0_1     0.0006     0.0006    -0.0001    [-0.0002, +0.0000]   0.0810        NULL
       s0_10     0.0018     0.0014    -0.0003    [-0.0006, -0.0001]   0.0000      B wins
      s10_40     0.0319     0.0238    -0.0081    [-0.0104, -0.0061]   0.0000      B wins
        s40+     0.1556     0.1095    -0.0461    [-0.0754, -0.0293]   0.0000      B wins
        s60+     0.2063     0.1472    -0.0592    [-0.1036, -0.0362]   0.0000      B wins
        disc     0.0628     0.0448    -0.0180    [-0.0254, -0.0107]   0.0000      B wins
       untex     0.0237     0.0173    -0.0064    [-0.0103, -0.0032]   0.0000      B wins
        blur     0.0304     0.0233    -0.0071    [-0.0143, -0.0029]   0.0000      B wins

