
Paired sequence bootstrap (n=10000)
  A = raft_clean  (results/per_seq_stats/raft_clean.json)
  B = gmflow_basic_clean  (results/per_seq_stats/gmflow_basic_clean.json)

=== metric: epe  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     1.4459     1.4839    +0.0380    [-0.1911, +0.2017]   0.6374        NULL
     matched     0.6456     0.8222    +0.1766    [+0.0583, +0.2563]   0.0048      A wins
   unmatched    11.6888     9.9524    -1.7365    [-3.3170, -0.1203]   0.0352      B wins
        s0_1     0.1613     0.2452    +0.0839    [+0.0592, +0.1308]   0.0000      A wins
       s0_10     0.3602     0.4560    +0.0958    [-0.1147, +0.2020]   0.2756        NULL
      s10_40     1.6507     1.7601    +0.1095    [-0.4033, +0.3917]   0.5360        NULL
        s40+     8.7195     8.1894    -0.5302    [-1.3471, +0.6807]   0.3126        NULL
        s60+    12.2995    11.2124    -1.0872    [-2.6028, +0.8140]   0.2110        NULL
        disc     3.5786     3.4629    -0.1157    [-0.5463, +0.2438]   0.5760        NULL
       untex     1.6498     1.5548    -0.0950    [-0.5357, +0.1807]   0.6718        NULL
        blur     2.1750     1.8808    -0.2942    [-1.5955, +0.4029]   0.7198        NULL

=== metric: ae  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     3.9134     5.7788    +1.8654    [+1.2036, +2.4872]   0.0000      A wins
     matched     3.1363     5.2848    +2.1485    [+1.5834, +2.6825]   0.0000      A wins
   unmatched    13.8585    12.1010    -1.7575    [-3.0271, -0.3340]   0.0186      B wins
        s0_1     5.7161     9.7148    +3.9987    [+3.2118, +5.1949]   0.0000      A wins
       s0_10     4.0943     6.8198    +2.7255    [+2.1689, +3.2216]   0.0000      A wins
      s10_40     3.0462     3.4828    +0.4366    [+0.1272, +0.7260]   0.0068      A wins
        s40+     4.5261     3.4039    -1.1222    [-1.6264, -0.5477]   0.0000      B wins
        s60+     5.2895     3.6797    -1.6098    [-2.4983, -0.7911]   0.0002      B wins
        disc     6.6879     7.7753    +1.0873    [+0.4392, +1.7760]   0.0010      A wins
       untex     3.7843     5.4481    +1.6638    [+0.9367, +2.3733]   0.0000      A wins
        blur     3.7744     4.7941    +1.0197    [+0.1005, +2.0702]   0.0310      A wins

=== metric: bad1  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.0978     0.1603    +0.0625    [+0.0441, +0.0827]   0.0000      A wins
     matched     0.0619     0.1203    +0.0584    [+0.0409, +0.0784]   0.0000      A wins
   unmatched     0.5581     0.6725    +0.1144    [+0.0806, +0.1544]   0.0000      A wins
        s0_1     0.0147     0.0255    +0.0108    [+0.0052, +0.0218]   0.0000      A wins
       s0_10     0.0374     0.0690    +0.0316    [+0.0215, +0.0441]   0.0000      A wins
      s10_40     0.1750     0.2852    +0.1102    [+0.0859, +0.1340]   0.0000      A wins
        s40+     0.3590     0.5364    +0.1774    [+0.1572, +0.1998]   0.0000      A wins
        s60+     0.4141     0.5982    +0.1841    [+0.1548, +0.2126]   0.0000      A wins
        disc     0.2455     0.3723    +0.1267    [+0.0984, +0.1518]   0.0000      A wins
       untex     0.0949     0.1618    +0.0669    [+0.0460, +0.0917]   0.0000      A wins
        blur     0.1081     0.1817    +0.0736    [+0.0471, +0.1120]   0.0000      A wins

=== metric: bad10  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.0208     0.0231    +0.0023    [+0.0003, +0.0048]   0.0168      A wins
     matched     0.0078     0.0094    +0.0016    [+0.0005, +0.0032]   0.0000      A wins
   unmatched     0.1871     0.1988    +0.0117    [-0.0070, +0.0325]   0.2310        NULL
        s0_1     0.0010     0.0006    -0.0003    [-0.0006, -0.0001]   0.0076      B wins
       s0_10     0.0030     0.0018    -0.0012    [-0.0033, -0.0001]   0.0030      B wins
      s10_40     0.0313     0.0319    +0.0006    [-0.0017, +0.0026]   0.5692        NULL
        s40+     0.1240     0.1556    +0.0316    [+0.0170, +0.0560]   0.0000      A wins
        s60+     0.1635     0.2063    +0.0428    [+0.0231, +0.0772]   0.0000      A wins
        disc     0.0542     0.0628    +0.0087    [+0.0039, +0.0138]   0.0000      A wins
       untex     0.0220     0.0237    +0.0017    [-0.0016, +0.0052]   0.3086        NULL
        blur     0.0294     0.0304    +0.0010    [-0.0078, +0.0103]   0.7780        NULL

