
Paired sequence bootstrap (n=10000)
  A = raft_clean  (results/per_seq_stats/raft_clean.json)
  B = gmflow_refine_clean  (results/per_seq_stats/gmflow_refine_clean.json)

=== metric: epe  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     1.4459     1.0730    -0.3730    [-0.7019, -0.1388]   0.0000      B wins
     matched     0.6456     0.5084    -0.1372    [-0.3329, -0.0136]   0.0216      B wins
   unmatched    11.6888     8.2985    -3.3904    [-4.9088, -2.0017]   0.0000      B wins
        s0_1     0.1613     0.1574    -0.0039    [-0.0167, +0.0118]   0.6020        NULL
       s0_10     0.3602     0.3017    -0.0585    [-0.2694, +0.0393]   0.6540        NULL
      s10_40     1.6507     1.2420    -0.4086    [-1.0211, -0.0974]   0.0000      B wins
        s40+     8.7195     6.1884    -2.5312    [-3.3866, -1.8480]   0.0000      B wins
        s60+    12.2995     8.5546    -3.7450    [-5.5968, -2.3437]   0.0000      B wins
        disc     3.5786     2.5438    -1.0349    [-1.6650, -0.5288]   0.0000      B wins
       untex     1.6498     1.1274    -0.5224    [-1.0999, -0.1365]   0.0000      B wins
        blur     2.1750     1.4047    -0.7702    [-2.1864, -0.0262]   0.0254      B wins

=== metric: ae  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     3.9134     4.0934    +0.1801    [-0.2979, +0.6448]   0.4542        NULL
     matched     3.1363     3.6032    +0.4668    [+0.0822, +0.8560]   0.0138      A wins
   unmatched    13.8585    10.3681    -3.4904    [-4.5775, -2.4165]   0.0000      B wins
        s0_1     5.7161     6.4314    +0.7153    [+0.3132, +1.2552]   0.0002      A wins
       s0_10     4.0943     4.7925    +0.6981    [+0.2401, +1.1219]   0.0036      A wins
      s10_40     3.0462     2.4055    -0.6407    [-1.0523, -0.3644]   0.0000      B wins
        s40+     4.5261     2.8191    -1.7070    [-2.3429, -1.1559]   0.0000      B wins
        s60+     5.2895     3.2276    -2.0619    [-3.1322, -1.1805]   0.0000      B wins
        disc     6.6879     5.6644    -1.0235    [-1.4956, -0.5461]   0.0000      B wins
       untex     3.7843     3.8654    +0.0811    [-0.4902, +0.5992]   0.7576        NULL
        blur     3.7744     3.4590    -0.3154    [-1.3154, +0.5704]   0.5142        NULL

=== metric: bad1  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.0978     0.0910    -0.0068    [-0.0108, -0.0029]   0.0000      B wins
     matched     0.0619     0.0540    -0.0079    [-0.0118, -0.0042]   0.0000      B wins
   unmatched     0.5581     0.5654    +0.0073    [-0.0115, +0.0285]   0.5018        NULL
        s0_1     0.0147     0.0110    -0.0037    [-0.0077, -0.0009]   0.0040      B wins
       s0_10     0.0374     0.0313    -0.0061    [-0.0098, -0.0029]   0.0000      B wins
      s10_40     0.1750     0.1612    -0.0137    [-0.0225, -0.0039]   0.0074      B wins
        s40+     0.3590     0.3620    +0.0030    [-0.0129, +0.0147]   0.6910        NULL
        s60+     0.4141     0.4236    +0.0095    [-0.0152, +0.0283]   0.4108        NULL
        disc     0.2455     0.2256    -0.0199    [-0.0270, -0.0121]   0.0000      B wins
       untex     0.0949     0.0915    -0.0034    [-0.0091, +0.0021]   0.2308        NULL
        blur     0.1081     0.1110    +0.0028    [-0.0080, +0.0145]   0.6196        NULL

=== metric: bad10  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.0208     0.0167    -0.0041    [-0.0068, -0.0020]   0.0000      B wins
     matched     0.0078     0.0057    -0.0020    [-0.0035, -0.0010]   0.0000      B wins
   unmatched     0.1871     0.1566    -0.0305    [-0.0426, -0.0178]   0.0000      B wins
        s0_1     0.0010     0.0006    -0.0004    [-0.0007, -0.0002]   0.0000      B wins
       s0_10     0.0030     0.0014    -0.0016    [-0.0037, -0.0004]   0.0000      B wins
      s10_40     0.0313     0.0238    -0.0075    [-0.0104, -0.0051]   0.0000      B wins
        s40+     0.1240     0.1095    -0.0145    [-0.0230, -0.0084]   0.0000      B wins
        s60+     0.1635     0.1472    -0.0163    [-0.0303, -0.0078]   0.0004      B wins
        disc     0.0542     0.0448    -0.0093    [-0.0144, -0.0050]   0.0000      B wins
       untex     0.0220     0.0173    -0.0047    [-0.0087, -0.0017]   0.0000      B wins
        blur     0.0294     0.0233    -0.0061    [-0.0137, -0.0006]   0.0204      B wins

