
Paired sequence bootstrap (n=10000)
  A = gmflow_basic_final  (results/per_seq_stats/gmflow_basic_final.json)
  B = gmflow_refine_final  (results/per_seq_stats/gmflow_refine_final.json)

=== metric: epe  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     2.9420     2.4617    -0.4803    [-0.9230, -0.2290]   0.0000      B wins
     matched     1.9022     1.4952    -0.4071    [-0.7688, -0.2051]   0.0000      B wins
   unmatched    16.2506    14.8326    -1.4179    [-2.9453, -0.3257]   0.0030      B wins
        s0_1     0.3707     0.2783    -0.0924    [-0.1405, -0.0635]   0.0000      B wins
       s0_10     0.7238     0.5100    -0.2138    [-0.3782, -0.1269]   0.0000      B wins
      s10_40     3.4379     2.8008    -0.6372    [-1.0807, -0.3789]   0.0000      B wins
        s40+    17.6334    15.6010    -2.0324    [-5.0830, -0.6495]   0.0000      B wins
        s60+    23.8364    20.9869    -2.8495    [-7.9142, -0.6618]   0.0006      B wins
        disc     6.7870     5.7618    -1.0253    [-2.0728, -0.4496]   0.0000      B wins
       untex     3.4621     2.8380    -0.6241    [-1.3559, -0.2169]   0.0000      B wins
        blur     4.6691     3.8664    -0.8027    [-1.9375, -0.1981]   0.0000      B wins

=== metric: ae  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     7.6658     5.9247    -1.7411    [-2.2181, -1.3061]   0.0000      B wins
     matched     6.8080     5.0917    -1.7163    [-2.1896, -1.2839]   0.0000      B wins
   unmatched    18.6447    16.5858    -2.0589    [-3.5785, -1.0985]   0.0000      B wins
        s0_1    10.9787     8.1495    -2.8292    [-4.2442, -1.8757]   0.0000      B wins
       s0_10     8.0431     6.0273    -2.0158    [-2.6446, -1.4814]   0.0000      B wins
      s10_40     5.9013     4.6534    -1.2479    [-1.7018, -0.8905]   0.0000      B wins
        s40+     8.8479     7.9800    -0.8678    [-2.5365, +0.0745]   0.0834        NULL
        s60+     9.2994     8.2334    -1.0660    [-3.7109, +0.3060]   0.2116        NULL
        disc    10.8004     8.6528    -2.1476    [-2.8388, -1.5770]   0.0000      B wins
       untex     7.5718     5.8465    -1.7253    [-2.4080, -1.1457]   0.0000      B wins
        blur     8.3545     6.5795    -1.7751    [-2.7984, -0.9480]   0.0000      B wins

=== metric: bad1  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.2090     0.1462    -0.0628    [-0.0823, -0.0443]   0.0000      B wins
     matched     0.1671     0.1055    -0.0616    [-0.0824, -0.0427]   0.0000      B wins
   unmatched     0.7452     0.6672    -0.0780    [-0.0992, -0.0594]   0.0000      B wins
        s0_1     0.0392     0.0226    -0.0167    [-0.0306, -0.0091]   0.0000      B wins
       s0_10     0.0901     0.0495    -0.0406    [-0.0569, -0.0271]   0.0000      B wins
      s10_40     0.3697     0.2476    -0.1220    [-0.1504, -0.0935]   0.0000      B wins
        s40+     0.7031     0.6121    -0.0910    [-0.1115, -0.0718]   0.0000      B wins
        s60+     0.7576     0.6797    -0.0779    [-0.1005, -0.0491]   0.0000      B wins
        disc     0.4424     0.3261    -0.1163    [-0.1421, -0.0891]   0.0000      B wins
       untex     0.2212     0.1584    -0.0628    [-0.0852, -0.0428]   0.0000      B wins
        blur     0.2528     0.1967    -0.0561    [-0.0791, -0.0371]   0.0000      B wins

=== metric: bad10  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.0468     0.0395    -0.0073    [-0.0120, -0.0038]   0.0000      B wins
     matched     0.0275     0.0227    -0.0048    [-0.0084, -0.0022]   0.0000      B wins
   unmatched     0.2942     0.2544    -0.0398    [-0.0556, -0.0249]   0.0000      B wins
        s0_1     0.0035     0.0032    -0.0003    [-0.0007, +0.0001]   0.1426        NULL
       s0_10     0.0067     0.0055    -0.0012    [-0.0030, -0.0002]   0.0108      B wins
      s10_40     0.0629     0.0526    -0.0103    [-0.0159, -0.0062]   0.0000      B wins
        s40+     0.2971     0.2523    -0.0448    [-0.0689, -0.0302]   0.0000      B wins
        s60+     0.3679     0.3142    -0.0537    [-0.0877, -0.0351]   0.0000      B wins
        disc     0.1160     0.0979    -0.0181    [-0.0259, -0.0111]   0.0000      B wins
       untex     0.0531     0.0438    -0.0094    [-0.0162, -0.0043]   0.0000      B wins
        blur     0.0719     0.0606    -0.0113    [-0.0209, -0.0046]   0.0000      B wins

