
Paired sequence bootstrap (n=10000)
  A = raft_final  (results/per_seq_stats/raft_final.json)
  B = gmflow_basic_final  (results/per_seq_stats/gmflow_basic_final.json)

=== metric: epe  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     2.6779     2.9420    +0.2641    [-0.1047, +0.7802]   0.1956        NULL
     matched     1.5849     1.9022    +0.3173    [+0.0695, +0.7180]   0.0034      A wins
   unmatched    16.6671    16.2506    -0.4165    [-2.3129, +1.8487]   0.7208        NULL
        s0_1     0.2930     0.3707    +0.0777    [+0.0190, +0.1335]   0.0186      A wins
       s0_10     0.5091     0.7238    +0.2147    [+0.0679, +0.4439]   0.0046      A wins
      s10_40     2.9939     3.4379    +0.4441    [-0.0174, +1.0393]   0.0612        NULL
        s40+    17.4122    17.6334    +0.2212    [-1.9715, +3.5654]   0.8796        NULL
        s60+    23.6102    23.8364    +0.2263    [-2.8664, +5.1834]   0.9242        NULL
        disc     6.2581     6.7870    +0.5289    [-0.2779, +1.8144]   0.2972        NULL
       untex     3.1088     3.4621    +0.3533    [-0.2432, +1.2146]   0.3276        NULL
        blur     4.0287     4.6691    +0.6404    [-0.2218, +1.9153]   0.1934        NULL

=== metric: ae  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     5.5764     7.6658    +2.0894    [+1.4648, +2.7033]   0.0000      A wins
     matched     4.5040     6.8080    +2.3040    [+1.7370, +2.8649]   0.0000      A wins
   unmatched    19.3023    18.6447    -0.6576    [-2.0026, +1.0272]   0.4392        NULL
        s0_1     7.2946    10.9787    +3.6841    [+2.7355, +5.2875]   0.0000      A wins
       s0_10     5.1551     8.0431    +2.8880    [+2.3075, +3.4592]   0.0000      A wins
      s10_40     5.1546     5.9013    +0.7467    [+0.2742, +1.2953]   0.0022      A wins
        s40+     9.4973     8.8479    -0.6494    [-2.1532, +1.2327]   0.4442        NULL
        s60+    10.3487     9.2994    -1.0493    [-3.0896, +1.7184]   0.3628        NULL
        disc     9.2686    10.8004    +1.5317    [+0.7854, +2.4321]   0.0000      A wins
       untex     5.5291     7.5718    +2.0427    [+1.2855, +2.8210]   0.0000      A wins
        blur     6.1646     8.3545    +2.1899    [+1.3130, +3.1356]   0.0000      A wins

=== metric: bad1  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.1467     0.2090    +0.0624    [+0.0448, +0.0811]   0.0000      A wins
     matched     0.1074     0.1671    +0.0597    [+0.0421, +0.0792]   0.0000      A wins
   unmatched     0.6492     0.7452    +0.0960    [+0.0743, +0.1235]   0.0000      A wins
        s0_1     0.0236     0.0392    +0.0157    [+0.0093, +0.0292]   0.0000      A wins
       s0_10     0.0516     0.0901    +0.0385    [+0.0269, +0.0531]   0.0000      A wins
      s10_40     0.2490     0.3697    +0.1206    [+0.0964, +0.1449]   0.0000      A wins
        s40+     0.5987     0.7031    +0.1044    [+0.0763, +0.1300]   0.0000      A wins
        s60+     0.6666     0.7576    +0.0910    [+0.0430, +0.1289]   0.0000      A wins
        disc     0.3341     0.4424    +0.1084    [+0.0823, +0.1326]   0.0000      A wins
       untex     0.1535     0.2212    +0.0677    [+0.0475, +0.0896]   0.0000      A wins
        blur     0.1872     0.2528    +0.0656    [+0.0452, +0.0891]   0.0000      A wins

=== metric: bad10  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.0432     0.0468    +0.0036    [+0.0001, +0.0077]   0.0438      A wins
     matched     0.0253     0.0275    +0.0022    [-0.0007, +0.0053]   0.1236        NULL
   unmatched     0.2721     0.2942    +0.0221    [+0.0064, +0.0393]   0.0048      A wins
        s0_1     0.0042     0.0035    -0.0008    [-0.0042, +0.0006]   0.5754        NULL
       s0_10     0.0073     0.0067    -0.0006    [-0.0041, +0.0024]   0.7482        NULL
      s10_40     0.0607     0.0629    +0.0022    [-0.0016, +0.0059]   0.2374        NULL
        s40+     0.2602     0.2971    +0.0369    [+0.0220, +0.0617]   0.0000      A wins
        s60+     0.3214     0.3679    +0.0465    [+0.0290, +0.0781]   0.0000      A wins
        disc     0.1019     0.1160    +0.0141    [+0.0074, +0.0225]   0.0000      A wins
       untex     0.0490     0.0531    +0.0042    [-0.0021, +0.0108]   0.1756        NULL
        blur     0.0658     0.0719    +0.0061    [-0.0038, +0.0157]   0.1916        NULL

