
Paired sequence bootstrap (n=10000)
  A = raft_final  (results/per_seq_stats/raft_final.json)
  B = gmflow_refine_final  (results/per_seq_stats/gmflow_refine_final.json)

=== metric: epe  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     2.6779     2.4617    -0.2162    [-0.4594, -0.0169]   0.0286      B wins
     matched     1.5849     1.4952    -0.0898    [-0.2332, +0.0248]   0.1566        NULL
   unmatched    16.6671    14.8326    -1.8345    [-3.0544, -0.5063]   0.0042      B wins
        s0_1     0.2930     0.2783    -0.0147    [-0.0829, +0.0241]   0.5666        NULL
       s0_10     0.5091     0.5100    +0.0009    [-0.1053, +0.0854]   0.9012        NULL
      s10_40     2.9939     2.8008    -0.1931    [-0.5737, +0.1214]   0.2456        NULL
        s40+    17.4122    15.6010    -1.8112    [-3.0947, -0.3577]   0.0164      B wins
        s60+    23.6102    20.9869    -2.6232    [-4.7828, -0.5135]   0.0144      B wins
        disc     6.2581     5.7618    -0.4963    [-0.9110, -0.0866]   0.0148      B wins
       untex     3.1088     2.8380    -0.2708    [-0.6493, +0.0331]   0.0882        NULL
        blur     4.0287     3.8664    -0.1623    [-0.6722, +0.1885]   0.5038        NULL

=== metric: ae  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     5.5764     5.9247    +0.3483    [-0.1450, +0.8413]   0.1584        NULL
     matched     4.5040     5.0917    +0.5878    [+0.1551, +1.0276]   0.0072      A wins
   unmatched    19.3023    16.5858    -2.7165    [-3.7325, -1.4731]   0.0000      B wins
        s0_1     7.2946     8.1495    +0.8549    [+0.1636, +1.6252]   0.0190      A wins
       s0_10     5.1551     6.0273    +0.8722    [+0.3877, +1.3394]   0.0008      A wins
      s10_40     5.1546     4.6534    -0.5012    [-1.0301, -0.1061]   0.0094      B wins
        s40+     9.4973     7.9800    -1.5172    [-2.9416, -0.0641]   0.0416      B wins
        s60+    10.3487     8.2334    -2.1153    [-3.6360, -0.6013]   0.0044      B wins
        disc     9.2686     8.6528    -0.6158    [-1.0728, -0.1171]   0.0128      B wins
       untex     5.5291     5.8465    +0.3173    [-0.3387, +0.9197]   0.3202        NULL
        blur     6.1646     6.5795    +0.4148    [-0.3482, +1.0439]   0.2558        NULL

=== metric: bad1  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.1467     0.1462    -0.0004    [-0.0043, +0.0033]   0.8400        NULL
     matched     0.1074     0.1055    -0.0019    [-0.0054, +0.0016]   0.2904        NULL
   unmatched     0.6492     0.6672    +0.0180    [+0.0028, +0.0327]   0.0180      A wins
        s0_1     0.0236     0.0226    -0.0010    [-0.0047, +0.0032]   0.6292        NULL
       s0_10     0.0516     0.0495    -0.0021    [-0.0064, +0.0017]   0.3048        NULL
      s10_40     0.2490     0.2476    -0.0014    [-0.0099, +0.0072]   0.7476        NULL
        s40+     0.5987     0.6121    +0.0134    [-0.0002, +0.0238]   0.0552        NULL
        s60+     0.6666     0.6797    +0.0131    [-0.0086, +0.0335]   0.3264        NULL
        disc     0.3341     0.3261    -0.0079    [-0.0155, -0.0003]   0.0412      B wins
       untex     0.1535     0.1584    +0.0049    [+0.0005, +0.0090]   0.0292      A wins
        blur     0.1872     0.1967    +0.0095    [+0.0048, +0.0139]   0.0000      A wins

=== metric: bad10  →  Δ = B − A ===
        mask          A          B       ΔB-A                95% CI        p     verdict
         all     0.0432     0.0395    -0.0037    [-0.0071, -0.0012]   0.0000      B wins
     matched     0.0253     0.0227    -0.0026    [-0.0058, -0.0004]   0.0100      B wins
   unmatched     0.2721     0.2544    -0.0177    [-0.0230, -0.0108]   0.0000      B wins
        s0_1     0.0042     0.0032    -0.0011    [-0.0045, +0.0001]   0.1818        NULL
       s0_10     0.0073     0.0055    -0.0018    [-0.0050, -0.0001]   0.0332      B wins
      s10_40     0.0607     0.0526    -0.0081    [-0.0144, -0.0038]   0.0000      B wins
        s40+     0.2602     0.2523    -0.0079    [-0.0182, +0.0014]   0.0940        NULL
        s60+     0.3214     0.3142    -0.0072    [-0.0169, +0.0004]   0.0612        NULL
        disc     0.1019     0.0979    -0.0040    [-0.0073, -0.0006]   0.0178      B wins
       untex     0.0490     0.0438    -0.0052    [-0.0112, -0.0007]   0.0126      B wins
        blur     0.0658     0.0606    -0.0052    [-0.0141, +0.0008]   0.1258        NULL

